course_id,term_season,major_group,total_enrollments
AA-100,Fall,Exercise Science,5
AA-100,Spring,Exercise Science,3
AA-100,Summer,Anatomy and Physiology,1
AA-101,Fall,Exercise Science,1
AA-101,Spring,Exercise Science,2
AB-480A2,Spring,Health Promotion,1
AB-509,Fall,Microbiology and Infectious Disease,1
ACT-205,Fall,Health Promotion,9
ACT-205,Spring,Health Promotion,8
ACT-205,Summer,Exercise Science,2
ACT-210,Fall,Exercise Science,1
ACT-210,Spring,Exercise Science,2
ACT-210,Summer,Exercise Science,1
ACT-220,Fall,Anatomy and Physiology,1
ACT-220,Spring,Health Promotion,1
AGED-110,Spring,Anatomy and Physiology,2
AGED-220,Fall,Anatomy and Physiology,1
AGED-330,Spring,Anatomy and Physiology,1
AGRI-116,Fall,Anatomy and Physiology,4
AHS-280A1,Fall,Behavioral and Cognitive Neuroscience,1
AHS-487B,Fall,Anatomy and Physiology,1
AM-101,Fall,Exercise Science,1
AM-110,Spring,Exercise Science,2
AM-130,Fall,Exercise Science,2
AM-130,Spring,Exercise Science,1
AM-143,Spring,Exercise Science,2
AM-220,Fall,Exercise Science,2
AM-250,Fall,Exercise Science,3
AM-250,Spring,Exercise Science,1
AM-364,Summer,Anatomy and Physiology,1
AMST-100,Fall,Exercise Science,4
AMST-100,Spring,Exercise Science,4
AMST-101,Fall,Health Promotion,9
AMST-101,Spring,Health Promotion,11
ANEQ-101,Fall,Anatomy and Physiology,10
ANEQ-101,Spring,Other,1
ANEQ-102,Fall,Anatomy and Physiology,6
ANEQ-105,Fall,Anatomy and Physiology,2
ANEQ-105,Spring,Microbiology and Infectious Disease,3
ANEQ-115,Spring,Anatomy and Physiology,4
ANEQ-180A2,Fall,Microbiology and Infectious Disease,1
ANEQ-193,Fall,Exercise Science,6
ANEQ-201B,Spring,Microbiology and Infectious Disease,1
ANEQ-201B,Summer,Microbiology and Infectious Disease,1
ANEQ-250,Fall,Anatomy and Physiology,2
ANEQ-292,Spring,Anatomy and Physiology,1
ANEQ-293,Spring,Anatomy and Physiology,1
ANEQ-300A,Fall,Exercise Science,1
ANEQ-300A,Spring,Anatomy and Physiology,1
ANEQ-305,Fall,Microbiology and Infectious Disease,2
ANEQ-305,Spring,Anatomy and Physiology,1
ANEQ-305,Summer,Anatomy and Physiology,1
ANEQ-310,Fall,Anatomy and Physiology,1
ANEQ-310,Spring,Anatomy and Physiology,1
ANEQ-320,Fall,Anatomy and Physiology,22
ANEQ-320,Spring,Anatomy and Physiology,8
ANEQ-328,Fall,Anatomy and Physiology,2
ANEQ-328,Spring,Microbiology and Infectious Disease,1
ANEQ-334,Summer,Microbiology and Infectious Disease,1
ANEQ-344,Fall,Microbiology and Infectious Disease,1
ANEQ-345,Spring,Microbiology and Infectious Disease,1
ANEQ-346,Fall,Microbiology and Infectious Disease,2
ANEQ-351,Fall,Microbiology and Infectious Disease,2
ANEQ-360,Fall,Anatomy and Physiology,2
ANEQ-365,Spring,Microbiology and Infectious Disease,2
ANEQ-384,Fall,Microbiology and Infectious Disease,1
ANEQ-384,Spring,Anatomy and Physiology,1
ANEQ-440,Fall,Microbiology and Infectious Disease,1
ANEQ-486,Fall,Microbiology and Infectious Disease,1
ANEQ-487B,Summer,Microbiology and Infectious Disease,1
ANEQ-522,Fall,Anatomy and Physiology,1
ANTH-100,Fall,Health Promotion,3
ANTH-100,Spring,Exercise Science,7
ANTH-120,Fall,Exercise Science,5
ANTH-120,Spring,Exercise Science,5
ANTH-121,Fall,Anatomy and Physiology,1
ANTH-121,Spring,Exercise Science,1
ANTH-140,Fall,Exercise Science,11
ANTH-140,Spring,Exercise Science,12
ANTH-140,Summer,Anatomy and Physiology,3
ANTH-200,Fall,Anatomy and Physiology,6
ANTH-200,Spring,Exercise Science,9
ANTH-200,Summer,Anatomy and Physiology,1
ANTH-240,Fall,Anatomy and Physiology,1
ANTH-261,Spring,Exercise Science,1
ANTH-274,Fall,Neuroscience,1
ANTH-274,Spring,Exercise Science,2
ANTH-275,Fall,Microbiology and Infectious Disease,1
ANTH-275,Summer,Anatomy and Physiology,1
ANTH-356,Spring,Microbiology and Infectious Disease,1
ANTH-372,Fall,Anatomy and Physiology,2
ANTH-372,Spring,Anatomy and Physiology,1
ANTH-379,Fall,Exercise Science,2
AREC-202,Fall,Exercise Science,6
AREC-202,Spring,Exercise Science,4
AREC-222,Fall,Anatomy and Physiology,1
AREC-240,Fall,Environmental and Public Health,1
AREC-342,Spring,Environmental and Public Health,2
AREC-375,Fall,Microbiology and Infectious Disease,1
ART-100,Fall,Exercise Science,63
ART-100,Spring,Exercise Science,42
ART-100,Summer,Anatomy and Physiology,3
ART-105,Fall,Exercise Science,1
ART-105,Spring,Microbiology and Infectious Disease,1
ART-110,Fall,Exercise Science,1
ART-111,Spring,Exercise Science,1
ART-120,Fall,Exercise Science,1
ART-135,Fall,Anatomy and Physiology,1
ART-135,Spring,Exercise Science,1
ART-160,Spring,Exercise Science,1
ART-170,Spring,Exercise Science,1
ART-200,Fall,Health Promotion,1
ART-200,Spring,Health Promotion,1
ART-200,Summer,Health Promotion,1
ART-236,Fall,Anatomy and Physiology,1
ART-240,Spring,Anatomy and Physiology,1
ART-275J,Summer,Anatomy and Physiology,1
ART-340,Fall,Anatomy and Physiology,1
AS-101,Fall,Exercise Science,6
AS-102,Spring,Exercise Science,4
AS-196A,Fall,Exercise Science,6
AS-196B,Spring,Exercise Science,4
AS-201,Fall,Exercise Science,3
AS-202,Spring,Exercise Science,1
AS-296A,Fall,Exercise Science,3
AS-296B,Spring,Exercise Science,1
AS-301,Fall,Exercise Science,1
AS-302,Spring,Exercise Science,1
AS-396A,Fall,Exercise Science,1
AS-396B,Spring,Exercise Science,1
AS-401,Fall,Exercise Science,1
AS-496A,Fall,Exercise Science,1
ATS-150,Fall,Microbiology and Infectious Disease,3
ATS-150,Spring,Anatomy and Physiology,2
ATS-350,Fall,Environmental and Public Health,3
ATS-351,Fall,Anatomy and Physiology,1
BC-192,Fall,Anatomy and Physiology,16
BC-295,Spring,Anatomy and Physiology,1
BC-351,Fall,Anatomy and Physiology,110
BC-351,Spring,Anatomy and Physiology,48
BC-351,Summer,Anatomy and Physiology,25
BC-401,Fall,Cell and Molecular Neuroscience,32
BC-401,Spring,Cell and Molecular Neuroscience,1
BC-403,Spring,Cell and Molecular Neuroscience,17
BC-404,Fall,Cell and Molecular Neuroscience,7
BC-404,Spring,Cell and Molecular Neuroscience,11
BC-405,Spring,Cell and Molecular Neuroscience,1
BC-411,Fall,Cell and Molecular Neuroscience,2
BC-463,Fall,Behavioral and Cognitive Neuroscience,1
BC-465,Spring,Cell and Molecular Neuroscience,9
BC-465,Summer,Cell and Molecular Neuroscience,5
BC-475,Fall,Anatomy and Physiology,2
BC-484,Fall,Cell and Molecular Neuroscience,9
BC-484,Spring,Cell and Molecular Neuroscience,5
BC-496,Fall,Cell and Molecular Neuroscience,5
BC-498,Fall,Anatomy and Physiology,2
BC-498,Spring,Anatomy and Physiology,1
BC-566,Spring,Anatomy and Physiology,1
BIOM-100,Fall,Exercise Science,10
BIOM-109,Fall,Anatomy and Physiology,2
BIOM-200,Fall,Anatomy and Physiology,4
BIOM-300,Spring,Anatomy and Physiology,4
BIOM-304,Spring,Anatomy and Physiology,1
BIOM-350A,Summer,Behavioral and Cognitive Neuroscience,1
BIOM-350B,Spring,Anatomy and Physiology,1
BIOM-350C,Spring,Anatomy and Physiology,2
BMS-200,Fall,Exercise Science,71
BMS-200,Spring,Exercise Science,95
BMS-200,Summer,Exercise Science,1
BMS-260,Spring,Anatomy and Physiology,616
BMS-296,Spring,Anatomy and Physiology,67
BMS-300,Fall,Exercise Science,187
BMS-300,Spring,Exercise Science,215
BMS-300,Summer,Exercise Science,30
BMS-301,Fall,Exercise Science,363
BMS-301,Spring,Exercise Science,88
BMS-301,Summer,Exercise Science,48
BMS-302,Fall,Exercise Science,364
BMS-302,Spring,Exercise Science,409
BMS-304,Fall,Anatomy and Physiology,39
BMS-305,Spring,Anatomy and Physiology,78
BMS-320,Fall,Exercise Science,2
BMS-320,Spring,Exercise Science,3
BMS-325,Fall,Behavioral and Cognitive Neuroscience,26
BMS-325,Spring,Anatomy and Physiology,11
BMS-330,Spring,Anatomy and Physiology,16
BMS-345,Fall,Cell and Molecular Neuroscience,38
BMS-345,Spring,Behavioral and Cognitive Neuroscience,52
BMS-384,Fall,Anatomy and Physiology,52
BMS-384,Spring,Anatomy and Physiology,16
BMS-384,Summer,Anatomy and Physiology,1
BMS-400,Spring,Anatomy and Physiology,8
BMS-401,Fall,Anatomy and Physiology,14
BMS-401,Spring,Anatomy and Physiology,6
BMS-405,Spring,Anatomy and Physiology,4
BMS-409,Fall,Anatomy and Physiology,23
BMS-420,Fall,Anatomy and Physiology,91
BMS-421,Fall,Anatomy and Physiology,128
BMS-425,Spring,Cell and Molecular Neuroscience,2
BMS-430,Fall,Anatomy and Physiology,42
BMS-450,Spring,Anatomy and Physiology,38
BMS-450,Summer,Anatomy and Physiology,9
BMS-460,Fall,Anatomy and Physiology,56
BMS-461,Fall,Anatomy and Physiology,41
BMS-461,Spring,Anatomy and Physiology,2
BMS-487,Fall,Anatomy and Physiology,1
BMS-495,Fall,Anatomy and Physiology,1
BMS-495,Spring,Anatomy and Physiology,2
BMS-496A,Fall,Anatomy and Physiology,20
BMS-496A,Spring,Anatomy and Physiology,4
BMS-496B,Spring,Anatomy and Physiology,10
BMS-496C,Spring,Anatomy and Physiology,38
BMS-496D,Spring,Anatomy and Physiology,2
BMS-498,Fall,Anatomy and Physiology,2
BMS-498,Spring,Anatomy and Physiology,4
BMS-500,Fall,Anatomy and Physiology,6
BMS-501,Spring,Anatomy and Physiology,1
BMS-521,Spring,Anatomy and Physiology,1
BMS-531,Spring,Anatomy and Physiology,2
BMS-545,Spring,Behavioral and Cognitive Neuroscience,4
BMS-575,Fall,Anatomy and Physiology,15
BMS-575,Spring,Anatomy and Physiology,5
BSPM-102,Fall,Exercise Science,3
BSPM-102,Spring,Health Promotion,2
BSPM-102,Summer,Exercise Science,5
BSPM-302,Fall,Microbiology and Infectious Disease,2
BSPM-303A,Fall,Exercise Science,1
BSPM-361,Spring,Behavioral and Cognitive Neuroscience,2
BSPM-365,Fall,Behavioral and Cognitive Neuroscience,2
BUS-100,Fall,Exercise Science,7
BUS-100,Spring,Exercise Science,1
BUS-105,Fall,Exercise Science,7
BUS-150,Fall,Exercise Science,5
BUS-150,Spring,Health Promotion,4
BUS-201,Fall,Exercise Science,2
BUS-201,Spring,Exercise Science,1
BUS-201,Summer,Anatomy and Physiology,1
BUS-205,Fall,Health Promotion,8
BUS-205,Spring,Health Promotion,11
BUS-205,Summer,Health Promotion,2
BUS-210,Fall,Exercise Science,2
BUS-210,Spring,Cell and Molecular Neuroscience,1
BUS-220,Fall,Exercise Science,23
BUS-220,Spring,Exercise Science,20
BUS-220,Summer,Anatomy and Physiology,2
BUS-225,Fall,Health Promotion,2
BUS-250,Fall,Exercise Science,4
BUS-260,Fall,Anatomy and Physiology,1
BUS-260,Spring,Exercise Science,1
BUS-269,Fall,Health Promotion,1
BUS-300,Spring,Health Promotion,2
BUS-361,Fall,Health Promotion,1
BUS-380A5,Fall,Anatomy and Physiology,1
BUS-405A,Fall,Anatomy and Physiology,1
BUS-479,Fall,Anatomy and Physiology,1
BZ-101,Fall,Exercise Science,5
BZ-101,Spring,Health Promotion,2
BZ-104,Fall,Exercise Science,4
BZ-110,Fall,Health Promotion,17
BZ-110,Spring,Health Promotion,7
BZ-110,Summer,Microbiology and Infectious Disease,2
BZ-111,Fall,Health Promotion,13
BZ-111,Spring,Health Promotion,11
BZ-120,Fall,Exercise Science,4
BZ-120,Spring,Exercise Science,6
BZ-182A,Fall,Health Promotion,2
BZ-192,Fall,Exercise Science,6
BZ-212,Fall,Anatomy and Physiology,6
BZ-214,Spring,Microbiology and Infectious Disease,8
BZ-220,Fall,Anatomy and Physiology,13
BZ-220,Spring,Exercise Science,6
BZ-220,Summer,Exercise Science,2
BZ-223,Fall,Anatomy and Physiology,1
BZ-240,Spring,Other,1
BZ-300,Fall,Anatomy and Physiology,2
BZ-310,Fall,Anatomy and Physiology,2
BZ-310,Spring,Exercise Science,6
BZ-310,Summer,Anatomy and Physiology,2
BZ-311,Spring,Other,2
BZ-329,Spring,Anatomy and Physiology,3
BZ-333,Summer,Microbiology and Infectious Disease,2
BZ-350,Fall,Exercise Science,15
BZ-350,Spring,Anatomy and Physiology,11
BZ-350,Summer,Anatomy and Physiology,3
BZ-360,Fall,Microbiology and Infectious Disease,10
BZ-384,Spring,Anatomy and Physiology,2
BZ-415,Spring,Anatomy and Physiology,1
BZ-418,Spring,Microbiology and Infectious Disease,1
BZ-420,Fall,Other,1
BZ-435A,Spring,Anatomy and Physiology,2
BZ-450,Spring,Anatomy and Physiology,2
BZ-475,Fall,Microbiology and Infectious Disease,1
BZ-480A4,Fall,Microbiology and Infectious Disease,4
BZ-480A4,Spring,Microbiology and Infectious Disease,2
BZ-498,Fall,Anatomy and Physiology,1
BZ-541,Spring,Anatomy and Physiology,1
CBE-101,Spring,Exercise Science,2
CBE-101A,Fall,Anatomy and Physiology,1
CBE-101A,Spring,Anatomy and Physiology,2
CBE-101B,Fall,Anatomy and Physiology,1
CBE-101B,Spring,Anatomy and Physiology,2
CBE-160,Fall,Anatomy and Physiology,1
CBE-160,Spring,Exercise Science,3
CBE-201,Fall,Exercise Science,1
CBE-205,Fall,Exercise Science,1
CBE-210,Spring,Exercise Science,1
CBE-393,Spring,Exercise Science,1
CHEM-103,Fall,Exercise Science,2
CHEM-103,Spring,Anatomy and Physiology,1
CHEM-104,Fall,Behavioral and Cognitive Neuroscience,1
CHEM-105,Fall,Health Promotion,7
CHEM-105,Spring,Exercise Science,8
CHEM-107,Fall,Health Promotion,54
CHEM-107,Spring,Health Promotion,75
CHEM-107,Summer,Exercise Science,3
CHEM-108,Fall,Health Promotion,48
CHEM-108,Spring,Health Promotion,73
CHEM-108,Summer,Health Promotion,2
CHEM-111,Fall,Anatomy and Physiology,700
CHEM-111,Spring,Exercise Science,699
CHEM-111,Summer,Exercise Science,16
CHEM-112,Fall,Anatomy and Physiology,323
CHEM-112,Spring,Exercise Science,275
CHEM-112,Summer,Anatomy and Physiology,7
CHEM-113,Fall,Exercise Science,279
CHEM-113,Spring,Anatomy and Physiology,251
CHEM-113,Summer,Exercise Science,13
CHEM-114,Fall,Exercise Science,259
CHEM-114,Spring,Anatomy and Physiology,228
CHEM-114,Summer,Exercise Science,9
CHEM-115,Fall,Exercise Science,8
CHEM-115,Spring,Anatomy and Physiology,9
CHEM-120,Fall,Exercise Science,2
CHEM-121,Fall,Exercise Science,1
CHEM-192,Fall,Microbiology and Infectious Disease,2
CHEM-231,Fall,Microbiology and Infectious Disease,2
CHEM-232,Fall,Anatomy and Physiology,1
CHEM-241,Spring,Anatomy and Physiology,2
CHEM-242,Spring,Anatomy and Physiology,1
CHEM-245,Fall,Exercise Science,132
CHEM-245,Spring,Exercise Science,63
CHEM-245,Summer,Environmental and Public Health,2
CHEM-246,Fall,Exercise Science,129
CHEM-246,Spring,Exercise Science,59
CHEM-246,Summer,Exercise Science,2
CHEM-263,Spring,Anatomy and Physiology,5
CHEM-264,Spring,Anatomy and Physiology,1
CHEM-311,Fall,Exercise Science,1
CHEM-320,Fall,Behavioral and Cognitive Neuroscience,10
CHEM-333,Fall,Anatomy and Physiology,7
CHEM-338,Spring,Anatomy and Physiology,2
CHEM-341,Fall,Anatomy and Physiology,219
CHEM-341,Spring,Anatomy and Physiology,62
CHEM-341,Summer,Anatomy and Physiology,6
CHEM-343,Fall,Anatomy and Physiology,62
CHEM-343,Spring,Anatomy and Physiology,143
CHEM-343,Summer,Anatomy and Physiology,6
CHEM-344,Fall,Anatomy and Physiology,48
CHEM-344,Spring,Anatomy and Physiology,119
CHEM-344,Summer,Anatomy and Physiology,3
CHEM-384,Fall,Anatomy and Physiology,11
CHEM-384,Spring,Anatomy and Physiology,4
CHEM-434,Fall,Anatomy and Physiology,1
CHEM-440,Fall,Anatomy and Physiology,1
CHEM-445,Fall,Anatomy and Physiology,1
CHEM-448,Spring,Anatomy and Physiology,2
CIS-200,Fall,Anatomy and Physiology,4
CIS-200,Spring,Exercise Science,2
CIS-200,Summer,Cell and Molecular Neuroscience,1
CIS-240,Spring,Anatomy and Physiology,1
CIS-310,Fall,Anatomy and Physiology,1
CIS-320,Spring,Anatomy and Physiology,1
CIS-340,Spring,Anatomy and Physiology,1
CIS-370,Spring,Anatomy and Physiology,1
CIS-411,Spring,Anatomy and Physiology,1
CIS-575,Fall,Anatomy and Physiology,1
CIVE-102,Fall,Behavioral and Cognitive Neuroscience,2
CIVE-103,Spring,Health Promotion,2
CIVE-260,Fall,Exercise Science,2
CIVE-260,Spring,Environmental and Public Health,1
CIVE-261,Fall,Anatomy and Physiology,1
CIVE-261,Spring,Exercise Science,2
CIVE-360,Summer,Anatomy and Physiology,1
CO-130,Fall,Exercise Science,5
CO-130,Spring,Exercise Science,11
CO-130,Summer,Exercise Science,1
CO-150,Fall,Exercise Science,103
CO-150,Spring,Exercise Science,246
CO-150,Summer,Anatomy and Physiology,16
CO-300,Fall,Anatomy and Physiology,24
CO-300,Spring,Anatomy and Physiology,16
CO-300,Summer,Anatomy and Physiology,7
CO-301A,Fall,Anatomy and Physiology,2
CO-301A,Spring,Anatomy and Physiology,1
CO-301B,Fall,Exercise Science,131
CO-301B,Spring,Exercise Science,98
CO-301B,Summer,Exercise Science,65
CO-302,Fall,Health Promotion,1
CON-101,Fall,Anatomy and Physiology,1
CON-131,Spring,Anatomy and Physiology,1
CON-151,Fall,Microbiology and Infectious Disease,1
CON-151,Spring,Anatomy and Physiology,1
CON-192,Fall,Anatomy and Physiology,1
CON-251,Fall,Anatomy and Physiology,2
CON-253,Fall,Anatomy and Physiology,2
CON-265,Fall,Anatomy and Physiology,2
CON-317,Spring,Anatomy and Physiology,1
CON-353,Spring,Anatomy and Physiology,3
CON-358,Spring,Anatomy and Physiology,1
CON-366,Spring,Anatomy and Physiology,2
CS-110,Fall,Exercise Science,14
CS-110,Spring,Behavioral and Cognitive Neuroscience,6
CS-110,Summer,Environmental and Public Health,1
CS-150B,Fall,Exercise Science,22
CS-150B,Spring,Anatomy and Physiology,8
CS-150B,Summer,Cell and Molecular Neuroscience,2
CS-152,Fall,Exercise Science,2
CS-152,Spring,Microbiology and Infectious Disease,4
CS-162,Fall,Exercise Science,2
CS-162,Spring,Cell and Molecular Neuroscience,2
CS-163,Fall,Cell and Molecular Neuroscience,2
CS-163,Spring,Anatomy and Physiology,1
CS-164,Fall,Cell and Molecular Neuroscience,2
CS-164,Spring,Anatomy and Physiology,7
CS-165,Fall,Health Promotion,2
CS-165,Spring,Cell and Molecular Neuroscience,4
CS-165,Summer,Anatomy and Physiology,1
CS-192,Fall,Exercise Science,3
CS-201,Fall,Cell and Molecular Neuroscience,1
CS-201,Spring,Anatomy and Physiology,2
CS-214,Fall,Cell and Molecular Neuroscience,2
CS-214,Spring,Cell and Molecular Neuroscience,2
CS-220,Fall,Cell and Molecular Neuroscience,6
CS-220,Spring,Exercise Science,2
CS-220,Summer,Anatomy and Physiology,1
CS-250,Summer,Cell and Molecular Neuroscience,1
CS-312,Spring,Cell and Molecular Neuroscience,2
CS-314,Fall,Cell and Molecular Neuroscience,1
CS-320,Fall,Cell and Molecular Neuroscience,1
CS-345,Spring,Cell and Molecular Neuroscience,1
CS-356,Fall,Cell and Molecular Neuroscience,1
CS-356,Summer,Cell and Molecular Neuroscience,1
CS-425,Spring,Microbiology and Infectious Disease,1
CS-435,Fall,Cell and Molecular Neuroscience,2
CS-480A8,Spring,Cell and Molecular Neuroscience,1
CT-301,Spring,Health Promotion,2
D-110,Fall,Exercise Science,11
D-110,Spring,Exercise Science,3
D-110,Summer,Anatomy and Physiology,1
D-120A,Fall,Health Promotion,1
D-120B,Spring,Exercise Science,1
D-220A,Fall,Behavioral and Cognitive Neuroscience,1
DM-182A,Fall,Environmental and Public Health,1
DM-192A,Spring,Exercise Science,1
DM-192B,Spring,Behavioral and Cognitive Neuroscience,1
DM-272,Fall,Exercise Science,1
DSCI-235,Spring,Cell and Molecular Neuroscience,2
DSCI-320,Fall,Cell and Molecular Neuroscience,3
DSCI-335,Spring,Behavioral and Cognitive Neuroscience,1
DSCI-336,Spring,Cell and Molecular Neuroscience,1
DSCI-369,Spring,Anatomy and Physiology,2
DSCI-445,Fall,Cell and Molecular Neuroscience,1
DSCI-478,Spring,Cell and Molecular Neuroscience,1
E-140,Fall,Behavioral and Cognitive Neuroscience,3
E-140,Spring,Anatomy and Physiology,2
E-142,Fall,Anatomy and Physiology,3
E-142,Spring,Exercise Science,3
E-150,Fall,Health Promotion,1
E-202,Spring,Anatomy and Physiology,1
E-204,Spring,Microbiology and Infectious Disease,1
E-206,Spring,Cell and Molecular Neuroscience,1
E-210,Fall,Behavioral and Cognitive Neuroscience,1
E-210,Spring,Microbiology and Infectious Disease,4
E-232,Fall,Exercise Science,6
E-232,Spring,Exercise Science,2
E-232,Summer,Health Promotion,1
E-236,Fall,Exercise Science,8
E-236,Spring,Anatomy and Physiology,2
E-237,Fall,Anatomy and Physiology,1
E-238,Fall,Anatomy and Physiology,7
E-238,Spring,Exercise Science,2
E-238,Summer,Exercise Science,1
E-240,Fall,Health Promotion,1
E-240,Spring,Health Promotion,1
E-242,Fall,Anatomy and Physiology,1
E-242,Spring,Microbiology and Infectious Disease,1
E-245,Fall,Anatomy and Physiology,2
E-245,Spring,Cell and Molecular Neuroscience,2
E-270,Fall,Health Promotion,2
E-270,Spring,Exercise Science,2
E-276,Fall,Anatomy and Physiology,3
E-276,Spring,Anatomy and Physiology,2
E-277,Fall,Microbiology and Infectious Disease,1
E-277,Spring,Health Promotion,1
E-311A,Fall,Exercise Science,2
E-311B,Fall,Microbiology and Infectious Disease,2
E-311B,Spring,Health Promotion,2
E-328,Spring,Behavioral and Cognitive Neuroscience,1
E-333,Fall,Exercise Science,1
E-352,Summer,Cell and Molecular Neuroscience,1
E-412A,Spring,Exercise Science,2
EAP-102,Fall,Anatomy and Physiology,1
ECE-102,Fall,Cell and Molecular Neuroscience,2
ECE-204,Spring,Anatomy and Physiology,1
ECON-101,Fall,Exercise Science,4
ECON-101,Spring,Anatomy and Physiology,1
ECON-101,Summer,Health Promotion,1
ECON-202,Fall,Health Promotion,53
ECON-202,Spring,Health Promotion,43
ECON-202,Summer,Health Promotion,4
ECON-204,Fall,Health Promotion,6
ECON-204,Spring,Health Promotion,6
ECON-211,Fall,Anatomy and Physiology,12
ECON-211,Spring,Health Promotion,12
ECON-211,Summer,Health Promotion,3
ECON-212,Fall,Behavioral and Cognitive Neuroscience,5
ECON-212,Spring,Exercise Science,3
ECON-235,Summer,Exercise Science,1
ECON-240,Fall,Health Promotion,2
EDUC-275,Fall,Health Promotion,2
EDUC-275,Spring,Exercise Science,1
EDUC-275,Summer,Microbiology and Infectious Disease,1
ENGR-101,Fall,Cell and Molecular Neuroscience,1
ENGR-120,Fall,Exercise Science,1
ENGR-180A2,Fall,Exercise Science,4
ENGR-533,Fall,Anatomy and Physiology,1
ERHS-210,Fall,Environmental and Public Health,1
ERHS-220,Fall,Environmental and Public Health,43
ERHS-220,Spring,Environmental and Public Health,16
ERHS-230,Spring,Environmental and Public Health,21
ERHS-320,Fall,Environmental and Public Health,23
ERHS-332,Spring,Environmental and Public Health,9
ERHS-340,Fall,Anatomy and Physiology,12
ERHS-350,Fall,Environmental and Public Health,14
ERHS-380A1,Spring,Environmental and Public Health,1
ERHS-410,Spring,Environmental and Public Health,3
ERHS-430,Fall,Environmental and Public Health,28
ERHS-446,Fall,Environmental and Public Health,16
ERHS-448,Fall,Environmental and Public Health,12
ERHS-450,Spring,Environmental and Public Health,6
ERHS-479,Fall,Environmental and Public Health,10
ERHS-479,Spring,Environmental and Public Health,14
ERHS-482A,Summer,Anatomy and Physiology,5
ERHS-484,Fall,Environmental and Public Health,1
ERHS-487,Fall,Environmental and Public Health,1
ERHS-487,Summer,Environmental and Public Health,6
ERHS-498,Fall,Environmental and Public Health,1
ERHS-501,Fall,Health Promotion,1
ERHS-566,Spring,Other,1
ESS-120,Fall,Exercise Science,2
ESS-129,Fall,Exercise Science,3
ESS-130,Spring,Exercise Science,2
ESS-210,Fall,Exercise Science,1
ETST-100,Fall,Exercise Science,15
ETST-100,Spring,Exercise Science,11
ETST-100,Summer,Exercise Science,5
ETST-110,Summer,Anatomy and Physiology,1
ETST-120,Summer,Exercise Science,2
ETST-201,Fall,Microbiology and Infectious Disease,1
ETST-205,Fall,Exercise Science,5
ETST-205,Spring,Health Promotion,3
ETST-240,Fall,Anatomy and Physiology,3
ETST-240,Summer,Exercise Science,1
ETST-242,Spring,Health Promotion,1
ETST-250,Fall,Behavioral and Cognitive Neuroscience,3
ETST-252,Fall,Anatomy and Physiology,2
ETST-252,Summer,Health Promotion,2
ETST-253,Fall,Exercise Science,2
